9 1356 250.0 37.0
9 1356 300.0 33.0
9 1356 350.0 31.0
9 1356 400.0 30.0
9 1356 450.0 28.0
9 1356 500.0 27.0
9 1356 550.0 25.0
9 1356 600.0 25.0
9 1356 650.0 24.0
9 1356 700.0 24.0
