2.0	0.6	5.2399072755472266e-15	200
2.0	0.6	5.2331597499633946e-15	210
2.0	0.6	5.226463477911467e-15	220
2.0	0.6	5.2198526016351644e-15	230
2.0	0.6	5.213360286647514e-15	240
2.0	0.6	5.20701691451505e-15	250
2.0	0.6	5.200849125703473e-15	260
2.0	0.6	5.194879426427645e-15	270
2.0	0.6	5.189126157843085e-15	280
2.0	0.6	5.183603687725984e-15	290
2.0	0.6	5.178322729222312e-15	300
2.0	0.6	5.17329072274908e-15	310
2.0	0.6	5.1685122392090806e-15	320
2.0	0.6	5.1639893779901455e-15	330
2.0	0.6	5.159722143715759e-15	340
2.0	0.6	5.155708792815761e-15	350
2.0	0.6	5.1519461457110724e-15	360
2.0	0.6	5.148429863479821e-15	370
2.0	0.6	5.145154689806814e-15	380
2.0	0.6	5.1421146601750745e-15	390
2.0	0.6	5.139303280890515e-15	400
2.0	0.6	5.136713680815527e-15	410
2.0	0.6	5.134338738746549e-15	420
2.0	0.6	5.132171189288839e-15	430
2.0	0.6	5.130203709916971e-15	440
2.0	0.6	5.128428991698968e-15	450
2.0	0.6	5.126839795933349e-15	460
2.0	0.6	5.125428998715723e-15	470
2.0	0.6	5.124189625227395e-15	480
2.0	0.6	5.123114875326991e-15	490
2.0	0.6	5.122198141831605e-15	500
2.0	0.6	5.121433022697035e-15	510
2.0	0.6	5.1208133281479446e-15	520
2.0	0.6	5.120333083666915e-15	530
2.0	0.6	5.119986529625722e-15	540
2.0	0.6	5.11976811823161e-15	550
2.0	0.6	5.119672508363618e-15	560
2.0	0.6	5.119694558788974e-15	570
2.0	0.6	5.119829320174866e-15	580
2.0	0.6	5.120072026245869e-15	590
2.0	0.6	5.120418084380743e-15	600
2.0	0.6	5.120863065893098e-15	610
2.0	0.6	5.121402696197857e-15	620
2.0	0.6	5.122032845028443e-15	630
2.0	0.6	5.1227495168379236e-15	640
2.0	0.6	5.123548841489882e-15	650
2.0	0.6	5.124427065321238e-15	660
2.0	0.6	5.1253805426391535e-15	670
2.0	0.6	5.126405727697152e-15	680
2.0	0.6	5.1274991671808335e-15	690
2.0	0.6	5.128657493221684e-15	700
2.0	0.6	5.12987741694692e-15	710
2.0	0.6	5.131155722565137e-15	720
2.0	0.6	5.132489261980392e-15	730
2.0	0.6	5.13387494992183e-15	740
2.0	0.6	5.135309759571489e-15	750
2.0	0.6	5.136790718669312e-15	760
2.0	0.6	5.138314906071982e-15	770
2.0	0.6	5.139879448740074e-15	780
2.0	0.6	5.141481519126862e-15	790
2.0	0.6	5.143118332941406e-15	800
2.0	0.6	5.1447871472581035e-15	810
2.0	0.6	5.146485258945114e-15	820
2.0	0.6	5.148210003384327e-15	830
2.0	0.6	5.149958753456219e-15	840
2.0	0.6	5.1517289187638195e-15	850
2.0	0.6	5.153517945070881e-15	860
2.0	0.6	5.155323313930524e-15	870
2.0	0.6	5.157142542481893e-15	880
2.0	0.6	5.158973183393397e-15	890
2.0	0.6	5.1608128249327344e-15	900
2.0	0.6	5.162659091144792e-15	910
2.0	0.6	5.164509642120263e-15	920
2.0	0.6	5.166362174338834e-15	930
2.0	0.6	5.1682144210720356e-15	940
2.0	0.6	5.170064152832427e-15	950
2.0	0.6	5.17190917785657e-15	960
2.0	0.6	5.1737473426106506e-15	970
2.0	0.6	5.175576532308705e-15	980
2.0	0.6	5.177394671434246e-15	990
2.0	0.6	5.179199724257413e-15	1000
2.0	0.6	5.180989695340341e-15	1010
2.0	0.6	5.182762630024567e-15	1020
2.0	0.6	5.184516614895026e-15	1030
2.0	0.6	5.1862497782159274e-15	1040
2.0	0.6	5.187960290334544e-15	1050
2.0	0.6	5.1896463640495655e-15	1060
2.0	0.6	5.1913062549412995e-15	1070
2.0	0.6	5.192938261661501e-15	1080
2.0	0.6	5.194540726181165e-15	1090
2.0	0.6	5.196112033995053e-15	1100
2.0	0.6	5.1976506142820745e-15	1110
2.0	0.6	5.199154940021131e-15	1120
2.0	0.6	5.200623528062249e-15	1130
2.0	0.6	5.2020549391532e-15	1140
2.0	0.6	5.203447777922006e-15	1150
2.0	0.6	5.204800692816039e-15	1160
2.0	0.6	5.206112375998493e-15	1170
2.0	0.6	5.2073815632033964e-15	1180
2.0	0.6	5.20860703355017e-15	1190
2.0	0.6	5.209787609319215e-15	1200
2.0	0.6	5.210922155689853e-15	1210
2.0	0.6	5.21200958044214e-15	1220
2.0	0.6	5.21304883362413e-15	1230
2.0	0.6	5.21403890718621e-15	1240
2.0	0.6	5.2149788345842005e-15	1250
2.0	0.6	5.215867690352861e-15	1260
2.0	0.6	5.216704589651587e-15	1270
2.0	0.6	5.217488687783905e-15	1280
2.0	0.6	5.218219179692587e-15	1290
2.0	0.6	5.2188952994319686e-15	1300
2.0	0.6	5.219516319619267e-15	1310
2.0	0.6	5.2200815508664524e-15	1320
2.0	0.6	5.220590341194277e-15	1330
2.0	0.6	5.221042075430191e-15	1340
2.0	0.6	5.2214361745914945e-15	1350
2.0	0.6	5.2217720952553614e-15	1360
2.0	0.6	5.222049328917128e-15	1370
2.0	0.6	5.22226740133828e-15	1380
2.0	0.6	5.222425871885456e-15	1390
2.0	0.6	5.2225243328618094e-15	1400
2.0	0.6	5.222562408831961e-15	1410
2.0	0.6	5.22253975594175e-15	1420
2.0	0.6	5.222456061233902e-15	1430
2.0	0.6	5.222311041960748e-15	1440
2.0	0.6	5.222104444895016e-15	1450
2.0	0.6	5.2218360456396546e-15	1460
2.0	0.6	5.221505647937679e-15	1470
2.0	0.6	5.221113082982895e-15	1480
