1356 9 80.0 68.0
1356 9 100.0 57.0
1356 9 120.0 53.0
1356 9 140.0 50.0
1356 9 160.0 47.0
1356 9 180.0 43.0
1356 9 200.0 41.0
1356 9 250.0 37.0
1356 9 300.0 33.0
1356 9 350.0 31.0
1356 9 400.0 30.0
1356 9 450.0 28.0
1356 9 500.0 27.0
1356 9 550.0 25.0
1356 9 600.0 25.0
1356 9 650.0 24.0
1356 9 700.0 24.0
1356 48 20.0 72.0
1356 48 40.0 56.0
1356 48 60.0 47.0
1356 48 80.0 40.0
1356 48 100.0 36.0
1356 48 120.0 32.0
1356 48 140.0 30.0
1356 48 160.0 30.0
1356 48 180.0 28.0
1356 48 200.0 27.0
1356 48 250.0 26.0
1356 48 300.0 25.0
1356 48 350.0 24.0
1356 48 400.0 24.0
1356 48 450.0 23.0
1356 48 500.0 23.0
1356 48 550.0 23.0
1356 48 600.0 23.0
1356 48 650.0 23.0
1356 48 700.0 23.0
1356 390 40.0 66.0
1356 390 60.0 52.0
1356 390 80.0 47.0
1356 390 100.0 40.0
1356 390 120.0 36.0
1356 390 140.0 33.0
1356 390 160.0 32.0
1356 390 180.0 32.0
1356 390 200.0 30.0
1356 390 250.0 29.0
1356 390 300.0 28.0
1356 390 350.0 28.0
1356 390 400.0 28.0
1356 390 450.0 28.0
1356 390 500.0 28.0
1356 390 550.0 27.0
1356 390 600.0 28.0
1356 390 650.0 27.0
1356 390 700.0 28.0
1356 1356 40.0 65.0
1356 1356 60.0 54.0
1356 1356 80.0 46.0
1356 1356 100.0 42.0
1356 1356 120.0 39.0
1356 1356 140.0 36.0
1356 1356 160.0 37.0
1356 1356 180.0 37.0
1356 1356 200.0 35.0
1356 1356 250.0 34.0
1356 1356 300.0 33.0
1356 1356 350.0 34.0
1356 1356 400.0 34.0
1356 1356 450.0 32.0
1356 1356 500.0 32.0
1356 1356 550.0 32.0
1356 1356 600.0 32.0
1356 1356 650.0 32.0
1356 1356 700.0 32.0
